sales_price,property_class,month,day,neighborhood
8000,Dwelling,8,8,Pleasant Valley
358000,Dwelling,8,8,Peaceful Glen
380000,Dwelling,8,8,Pleasant Valley
28500,Mobile Home,8,8,Pleasant Valley
310000,Dwelling,8,7,Serene Creek
356400,Dwelling,8,7,Pleasant Valley
258000,Dwelling,8,7,Quiet Hill
493000,Dwelling,8,7,Quiet Hill
408000,Dwelling,8,7,Serene Creek
323000,Dwelling,8,7,Pleasant Valley
287800,Dwelling,8,6,Serene Creek
367000,Dwelling,8,6,Serene Creek
5000,Mobile Home,8,6,Pleasant Valley
15000,Mobile Home,8,6,Pleasant Valley
299900,Dwelling,8,3,Peaceful Glen
190000,Dwelling,8,3,Quiet Hill
380000,Dwelling,8,3,Pleasant Valley
339500,Dwelling,8,3,Peaceful Glen
480000,Dwelling,8,3,Serene Creek
340000,Dwelling,8,3,Serene Creek
394500,Dwelling,8,3,Pleasant Valley
283400,Dwelling,8,3,Peaceful Glen
495000,Dwelling,8,2,Pleasant Valley
405000,Dwelling,8,2,Serene Creek
113500,Dwelling,8,2,Serene Creek
298000,Dwelling,8,2,Peaceful Glen
365000,Dwelling,8,1,Serene Creek
57000,Commercial,8,1,Serene Creek
184900,Dwelling,8,1,Peaceful Glen
441675,Dwelling,8,1,Serene Creek
80000,Dwelling,8,1,Peaceful Glen
394000,Dwelling,8,1,Pleasant Valley
345000,Dwelling,8,1,Peaceful Glen
450000,Dwelling,7,31,Quiet Hill
416917,Dwelling,7,31,Serene Creek
545875,Dwelling,7,31,Pleasant Valley
431000,Dwelling,7,31,Peaceful Glen
440000,Dwelling,7,31,Serene Creek
231500,Dwelling,7,31,Quiet Hill
340000,Commercial,7,31,Pleasant Valley
235000,Dwelling,7,31,Peaceful Glen
295900,Dwelling,7,31,Peaceful Glen
235000,Dwelling,7,31,Pleasant Valley
629000,Dwelling,7,31,Quiet Hill
231500,Dwelling,7,31,Pleasant Valley
20000,Mobile Home,7,31,Pleasant Valley
238510,Dwelling,7,30,Quiet Hill
550500,Dwelling,7,30,Pleasant Valley
379000,Dwelling,7,30,Pleasant Valley
420000,Dwelling,7,30,Peaceful Glen
618000,Dwelling,7,30,Quiet Hill
500000,Dwelling,7,30,Serene Creek
307000,Dwelling,7,30,Serene Creek
450000,Dwelling,7,30,Pleasant Valley
450000,Dwelling,7,27,Pleasant Valley
300000,Dwelling,7,27,Serene Creek
610000,Dwelling,7,27,Quiet Hill
250000,Dwelling,7,27,Serene Creek
300000,Dwelling,7,27,Pleasant Valley
323775,Dwelling,7,27,Peaceful Glen
485950,Dwelling,7,27,Pleasant Valley
404200,Dwelling,7,27,Pleasant Valley
65000,Mobile Home,7,27,Pleasant Valley
450000,Dwelling,7,26,Peaceful Glen
205000,Dwelling,7,26,Serene Creek
265000,Dwelling,7,26,Pleasant Valley
315000,Dwelling,7,26,Pleasant Valley
370000,Dwelling,7,25,Pleasant Valley
312661,Dwelling,7,25,Pleasant Valley
299000,Dwelling,7,25,Serene Creek
595000,Dwelling,7,25,Pleasant Valley
499000,Dwelling,7,25,Peaceful Glen
3900000,Dwelling,7,25,Quiet Hill
209000,Dwelling,7,24,Pleasant Valley
455000,Dwelling,7,24,Pleasant Valley
400000,Dwelling,7,24,Peaceful Glen
1210000,Commercial,7,24,Pleasant Valley
390000,Dwelling,7,24,Serene Creek
549999,Dwelling,7,24,Pleasant Valley
315000,Dwelling,7,23,Pleasant Valley
370000,Dwelling,7,23,Pleasant Valley
85500,Dwelling,7,23,Quiet Hill
595000,Dwelling,7,23,Peaceful Glen
299500,Dwelling,7,20,Peaceful Glen
390000,Dwelling,7,20,Serene Creek
479000,Dwelling,7,20,Serene Creek
525000,Dwelling,7,20,Peaceful Glen
380000,Dwelling,7,20,Serene Creek
239000,Dwelling,7,20,Serene Creek
391000,Dwelling,7,20,Pleasant Valley
447500,Dwelling,7,20,Pleasant Valley
750000,Dwelling,7,20,Quiet Hill
390000,Dwelling,7,19,Pleasant Valley
525000,Dwelling,7,19,Peaceful Glen
281000,Dwelling,7,19,Pleasant Valley
189900,Dwelling,7,19,Pleasant Valley
650000,Dwelling,7,19,Pleasant Valley
190000,Dwelling,7,19,Pleasant Valley
495995,Dwelling,7,18,Peaceful Glen
350000,Dwelling,7,18,Pleasant Valley
255000,Dwelling,7,18,Peaceful Glen
255000,Dwelling,7,17,Quiet Hill
792000,Dwelling,7,17,Serene Creek
344500,Dwelling,7,17,Serene Creek
325000,Dwelling,7,17,Pleasant Valley
375000,Dwelling,7,17,Quiet Hill
160000,Mobile Home,7,17,Quiet Hill
225000,Dwelling,7,16,Pleasant Valley
420000,Dwelling,7,16,Serene Creek
200000,Dwelling,7,16,Serene Creek
18000,Mobile Home,7,15,Pleasant Valley
157500,Dwelling,7,13,Pleasant Valley
394900,Dwelling,7,13,Serene Creek
261000,Dwelling,7,13,Peaceful Glen
275000,Dwelling,7,13,Peaceful Glen
285000,Dwelling,7,13,Serene Creek
500000,Commercial,7,13,Pleasant Valley
